,Gold_Close,Gold_Volume,Oil_Close,Oil_Volume,Gas_Close,Gas_Volume,VIX,FED,PMI,Michi,Unemploy
2017-05-06,1224.800048828125,16.0,49.099998474121094,54485.0,3.2660000324249268,150649.0,10.569999694824219,0.91,52.8,97.1,4.4
2017-05-07,1224.800048828125,16.0,49.099998474121094,54485.0,3.2660000324249268,150649.0,10.569999694824219,0.91,52.8,97.1,4.4
2017-05-08,1225.300048828125,43.0,49.34000015258789,35179.0,3.171999931335449,196689.0,9.770000457763672,0.91,52.8,97.1,4.4
2017-05-09,1214.300048828125,55.0,48.72999954223633,33410.0,3.2269999980926514,170982.0,9.960000038146973,0.91,52.8,97.1,4.4
2017-05-10,1217.300048828125,23.0,50.220001220703125,37961.0,3.2920000553131104,223188.0,10.210000038146973,0.91,52.8,97.1,4.4
2017-05-11,1222.699951171875,13.0,50.77000045776367,31243.0,3.375999927520752,199191.0,10.600000381469727,0.91,52.8,97.1,4.4
2017-05-12,1226.199951171875,29.0,50.84000015258789,29339.0,3.4240000247955322,150243.0,10.399999618530273,0.91,52.8,97.1,4.4
2017-05-13,1226.199951171875,29.0,50.84000015258789,29339.0,3.4240000247955322,150243.0,10.399999618530273,0.91,52.8,97.1,4.4
2017-05-14,1226.199951171875,29.0,50.84000015258789,29339.0,3.4240000247955322,150243.0,10.399999618530273,0.91,52.8,97.1,4.4
2017-05-15,1228.5999755859375,13.0,51.81999969482422,31972.0,3.3489999771118164,142311.0,10.420000076293945,0.91,52.8,97.1,4.4
2017-05-16,1235.0,20.0,51.650001525878906,29359.0,3.2300000190734863,203407.0,10.649999618530273,0.91,52.8,97.1,4.4
2017-05-17,1257.5,26.0,52.209999084472656,32800.0,3.191999912261963,147282.0,15.59000015258789,0.91,52.8,97.1,4.4
2017-05-18,1251.699951171875,43.0,52.5099983215332,41239.0,3.181999921798706,153415.0,14.65999984741211,0.91,52.8,97.1,4.4
2017-05-19,1252.699951171875,14.0,53.61000061035156,34681.0,3.25600004196167,143461.0,12.039999961853027,0.91,52.8,97.1,4.4
2017-05-20,1252.699951171875,14.0,53.61000061035156,34681.0,3.25600004196167,143461.0,12.039999961853027,0.91,52.8,97.1,4.4
2017-05-21,1252.699951171875,14.0,53.61000061035156,34681.0,3.25600004196167,143461.0,12.039999961853027,0.91,52.8,97.1,4.4
2017-05-22,1260.699951171875,14.0,53.869998931884766,41324.0,3.3299999237060547,132558.0,10.930000305175781,0.91,52.8,97.1,4.4
2017-05-23,1254.800048828125,20.0,54.150001525878906,39671.0,3.2190001010894775,131858.0,10.720000267028809,0.91,52.8,97.1,4.4
2017-05-24,1252.4000244140625,14.0,53.959999084472656,52627.0,3.2090001106262207,51800.0,10.020000457763672,0.91,52.8,97.1,4.4
2017-05-25,1255.800048828125,11.0,51.459999084472656,72089.0,3.184000015258789,45800.0,9.989999771118164,0.91,52.8,97.1,4.4
2017-05-26,1267.5999755859375,271457.0,52.150001525878906,28004.0,3.2360000610351562,140943.0,9.8100004196167,0.91,52.8,97.1,4.4
2017-05-27,1267.5999755859375,271457.0,52.150001525878906,28004.0,3.2360000610351562,140943.0,9.8100004196167,0.91,52.8,97.1,4.4
2017-05-28,1267.5999755859375,271457.0,52.150001525878906,28004.0,3.2360000610351562,140943.0,9.8100004196167,0.91,52.8,97.1,4.4
2017-05-29,1267.5999755859375,271457.0,52.150001525878906,28004.0,3.2360000610351562,140943.0,9.8100004196167,0.91,52.8,97.1,4.4
2017-05-30,1262.0999755859375,129819.0,51.84000015258789,18705.0,3.1449999809265137,215155.0,10.380000114440918,0.91,52.8,97.1,4.4
2017-05-31,1272.0,2712.0,50.310001373291016,545.0,3.071000099182129,208510.0,10.40999984741211,0.91,52.8,97.1,4.4
2017-06-01,1267.0,825.0,50.33000183105469,43640.0,3.007999897003174,236236.0,9.890000343322754,1.04,52.7,95.0,4.3
2017-06-02,1276.800048828125,1732.0,49.95000076293945,44207.0,2.999000072479248,147329.0,9.75,1.04,52.7,95.0,4.3
2017-06-03,1276.800048828125,1732.0,49.95000076293945,44207.0,2.999000072479248,147329.0,9.75,1.04,52.7,95.0,4.3
2017-06-04,1276.800048828125,1732.0,49.95000076293945,44207.0,2.999000072479248,147329.0,9.75,1.04,52.7,95.0,4.3
2017-06-05,1279.300048828125,433.0,49.470001220703125,38387.0,2.9820001125335693,148450.0,10.069999694824219,1.04,52.7,95.0,4.3
2017-06-06,1294.4000244140625,942.0,50.119998931884766,41397.0,3.0420000553131104,139905.0,10.449999809265137,1.04,52.7,95.0,4.3
2017-06-07,1290.0999755859375,641.0,48.060001373291016,50234.0,3.0199999809265137,179726.0,10.390000343322754,1.04,52.7,95.0,4.3
2017-06-08,1276.300048828125,319.0,47.86000061035156,40901.0,3.0280001163482666,205114.0,10.15999984741211,1.04,52.7,95.0,4.3
2017-06-09,1268.5,467.0,48.150001525878906,29536.0,3.0390000343322754,138973.0,10.699999809265137,1.04,52.7,95.0,4.3
2017-06-10,1268.5,467.0,48.150001525878906,29536.0,3.0390000343322754,138973.0,10.699999809265137,1.04,52.7,95.0,4.3
2017-06-11,1268.5,467.0,48.150001525878906,29536.0,3.0390000343322754,138973.0,10.699999809265137,1.04,52.7,95.0,4.3
2017-06-12,1266.0999755859375,255.0,48.290000915527344,28229.0,3.0239999294281006,163496.0,11.460000038146973,1.04,52.7,95.0,4.3
2017-06-13,1265.800048828125,150.0,48.720001220703125,26775.0,2.9660000801086426,224042.0,10.420000076293945,1.04,52.7,95.0,4.3
2017-06-14,1272.800048828125,336.0,47.0,44939.0,2.933000087738037,164623.0,10.640000343322754,1.04,52.7,95.0,4.3
2017-06-15,1252.199951171875,743.0,46.91999816894531,26749.0,3.055999994277954,195042.0,10.899999618530273,1.04,52.7,95.0,4.3
2017-06-16,1254.0,34.0,47.369998931884766,19728.0,3.0369999408721924,121174.0,10.380000114440918,1.04,52.7,95.0,4.3
2017-06-17,1254.0,34.0,47.369998931884766,19728.0,3.0369999408721924,121174.0,10.380000114440918,1.04,52.7,95.0,4.3
2017-06-18,1254.0,34.0,47.369998931884766,19728.0,3.0369999408721924,121174.0,10.380000114440918,1.04,52.7,95.0,4.3
2017-06-19,1244.199951171875,108.0,46.90999984741211,19703.0,2.8940000534057617,155300.0,10.369999885559082,1.04,52.7,95.0,4.3
2017-06-20,1241.0,75.0,46.02000045776367,30670.0,2.9070000648498535,112908.0,10.859999656677246,1.04,52.7,95.0,4.3
2017-06-21,1243.4000244140625,205.0,44.81999969482422,40210.0,2.8929998874664307,141997.0,10.75,1.04,52.7,95.0,4.3
2017-06-22,1247.5999755859375,156.0,45.220001220703125,28351.0,2.8940000534057617,150925.0,10.479999542236328,1.04,52.7,95.0,4.3
2017-06-23,1256.199951171875,269.0,45.540000915527344,27319.0,2.928999900817871,99800.0,10.020000457763672,1.04,52.7,95.0,4.3
2017-06-24,1256.199951171875,269.0,45.540000915527344,27319.0,2.928999900817871,99800.0,10.020000457763672,1.04,52.7,95.0,4.3
2017-06-25,1256.199951171875,269.0,45.540000915527344,27319.0,2.928999900817871,99800.0,10.020000457763672,1.04,52.7,95.0,4.3
2017-06-26,1246.300048828125,194.0,45.83000183105469,22998.0,3.0269999504089355,61783.0,9.899999618530273,1.04,52.7,95.0,4.3
2017-06-27,1246.4000244140625,111.0,46.650001525878906,29887.0,3.0369999408721924,48460.0,11.0600004196167,1.04,52.7,95.0,4.3
2017-06-28,1248.0,370.0,47.310001373291016,13352.0,3.066999912261963,119296.0,10.029999732971191,1.04,52.7,95.0,4.3
2017-06-29,1244.199951171875,540.0,47.41999816894531,9980.0,3.0420000553131104,156622.0,11.4399995803833,1.04,52.7,95.0,4.3
2017-06-30,1240.699951171875,43.0,47.91999816894531,785.0,3.0350000858306885,152129.0,11.180000305175781,1.04,52.7,95.0,4.3
2017-07-01,1240.699951171875,43.0,47.91999816894531,785.0,3.0350000858306885,152129.0,11.180000305175781,1.15,52.0,93.4,4.3
2017-07-02,1240.699951171875,43.0,47.91999816894531,785.0,3.0350000858306885,152129.0,11.180000305175781,1.15,52.0,93.4,4.3
2017-07-03,1217.9000244140625,33.0,47.869998931884766,17462.0,2.9509999752044678,142576.0,11.220000267028809,1.15,52.0,93.4,4.3
2017-07-04,1217.9000244140625,33.0,47.869998931884766,17462.0,2.9509999752044678,142576.0,11.220000267028809,1.15,52.0,93.4,4.3
2017-07-05,1220.4000244140625,40.0,47.790000915527344,40863.0,2.8399999141693115,239392.0,11.069999694824219,1.15,52.0,93.4,4.3
2017-07-06,1222.199951171875,5.0,48.11000061035156,25556.0,2.888000011444092,147746.0,12.539999961853027,1.15,52.0,93.4,4.3
2017-07-07,1208.5999755859375,116.0,46.709999084472656,28644.0,2.864000082015991,156392.0,11.1899995803833,1.15,52.0,93.4,4.3
2017-07-08,1208.5999755859375,116.0,46.709999084472656,28644.0,2.864000082015991,156392.0,11.1899995803833,1.15,52.0,93.4,4.3
2017-07-09,1208.5999755859375,116.0,46.709999084472656,28644.0,2.864000082015991,156392.0,11.1899995803833,1.15,52.0,93.4,4.3
2017-07-10,1212.0999755859375,28.0,46.880001068115234,21447.0,2.928999900817871,164958.0,11.109999656677246,1.15,52.0,93.4,4.3
2017-07-11,1213.5999755859375,12.0,47.52000045776367,22689.0,3.046999931335449,203416.0,10.890000343322754,1.15,52.0,93.4,4.3
2017-07-12,1218.0999755859375,7.0,47.7400016784668,31345.0,2.984999895095825,180109.0,10.300000190734863,1.15,52.0,93.4,4.3
2017-07-13,1216.300048828125,7.0,48.41999816894531,22846.0,2.9609999656677246,172378.0,9.899999618530273,1.15,52.0,93.4,4.3
2017-07-14,1226.5999755859375,23.0,48.90999984741211,22014.0,2.9800000190734863,151634.0,9.510000228881836,1.15,52.0,93.4,4.3
2017-07-15,1226.5999755859375,23.0,48.90999984741211,22014.0,2.9800000190734863,151634.0,9.510000228881836,1.15,52.0,93.4,4.3
2017-07-16,1226.5999755859375,23.0,48.90999984741211,22014.0,2.9800000190734863,151634.0,9.510000228881836,1.15,52.0,93.4,4.3
2017-07-17,1232.800048828125,7.0,48.41999816894531,17905.0,3.0199999809265137,114340.0,9.819999694824219,1.15,52.0,93.4,4.3
2017-07-18,1241.0999755859375,29.0,48.84000015258789,20301.0,3.0880000591278076,133413.0,9.890000343322754,1.15,52.0,93.4,4.3
2017-07-19,1241.199951171875,3.0,49.70000076293945,20340.0,3.065999984741211,101880.0,9.789999961853027,1.15,52.0,93.4,4.3
2017-07-20,1244.800048828125,5.0,49.29999923706055,26566.0,3.0429999828338623,177683.0,9.579999923706055,1.15,52.0,93.4,4.3
2017-07-21,1254.300048828125,16.0,48.060001373291016,27053.0,2.9700000286102295,158256.0,9.359999656677246,1.15,52.0,93.4,4.3
2017-07-22,1254.300048828125,16.0,48.060001373291016,27053.0,2.9700000286102295,158256.0,9.359999656677246,1.15,52.0,93.4,4.3
