Date,AAPL_Close,AAPL_Vol,TSLA_Close,TSLA_Vol,ADBE_Close,ADBE_Vol,ADI_Close,ADI_Vol,ADP_Close,ADP_Vol,ADSK_Close,ADSK_Vol,AEP_Close,AEP_Vol,ALGN_Close,ALGN_Vol,AMAT_Close,AMAT_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2017-12-15,41.483150482177734,160677200,68.69000244140625,34666000,177.50999450683594,9191700,79.4741439819336,3766000,107.60131072998047,3286900,108.4000015258789,2704200,65.7247543334961,3894800,233.5500030517578,1642600,49.53569030761719,14575400,1.0,15,4,False,False,False,False
2017-12-18,42.067352294921875,117684400,67.77400207519531,27381000,176.74000549316406,3435400,80.75759887695312,2743100,108.01099395751953,2433900,107.4800033569336,2362600,64.83171081542969,2489700,235.47000122070312,800200,50.34651184082031,13304300,1.0,18,0,False,False,False,False
2017-12-19,41.61906814575195,109745600,66.22000122070312,34125000,174.97000122070312,2509500,80.62924194335938,2098600,107.73786163330078,1905100,105.38999938964844,1862000,63.98159408569336,1684400,235.0500030517578,611300,49.931678771972656,10922600,1.0,19,1,False,False,False,False
2017-12-20,41.57376480102539,93902400,65.7959976196289,29769000,174.25,2677300,81.27099609375,2093000,107.30085754394531,900600,105.02999877929688,2513900,63.972991943359375,3630900,233.64999389648438,485800,50.24280548095703,9950800,1.0,20,2,False,False,False,False
2017-12-21,41.73114776611328,83799600,66.33200073242188,21926000,174.55999755859375,2164100,81.27099609375,1917100,106.882080078125,1245500,104.43000030517578,3920700,63.32040023803711,4431100,218.75999450683594,2062600,48.9228515625,9530900,1.0,21,3,False,False,False,False
2017-12-22,41.73114776611328,65397600,65.04000091552734,21079000,175.0,1702600,81.45433807373047,1680400,106.40867614746094,1129600,103.88999938964844,1533800,63.24311065673828,1801500,223.1199951171875,1154700,49.0831413269043,8087600,1.0,22,4,False,False,False,False
2017-12-26,40.67243576049805,132742000,63.45800018310547,21892000,174.44000244140625,918400,81.2526626586914,1378700,107.0368423461914,1616400,103.80000305175781,1322200,62.67638397216797,1077800,223.5399932861328,445800,48.130889892578125,7393600,1.0,26,1,False,False,False,False
2017-12-27,40.67958450317383,85992800,62.327999114990234,23560500,175.36000061035156,1527800,81.68354034423828,1827400,106.75463104248047,826000,104.58000183105469,1111800,62.891048431396484,2156400,226.4499969482422,706600,48.72486877441406,5962100,1.0,27,2,False,False,False,False
2017-12-28,40.794029235839844,65920800,63.071998596191406,21581500,175.5500030517578,1043700,81.94022369384766,1973000,106.80013275146484,711000,105.06999969482422,870900,63.24311065673828,1615000,226.47999572753906,612100,48.762577056884766,5634400,1.0,28,3,False,True,False,False
2017-12-29,40.35289764404297,103999600,62.27000045776367,18886000,175.24000549316406,1810300,81.61935424804688,3414800,106.6908950805664,1015700,104.83000183105469,1068400,63.174415588378906,1415900,222.19000244140625,560200,48.1968879699707,6971500,1.0,29,4,False,True,False,False
2018-01-02,41.075401306152344,102223600,64.10600280761719,21761000,177.6999969482422,2432800,82.76529693603516,2343200,105.59840393066406,2453000,107.12000274658203,2040600,62.17833709716797,3016800,224.6199951171875,979700,50.00709915161133,9819500,1.0,2,1,False,False,True,False
2018-01-03,41.0682487487793,118071600,63.45000076293945,22607500,181.0399932861328,2561200,83.7920913696289,2009600,106.7455062866211,1521500,109.37999725341797,1953800,61.654518127441406,2235700,231.1999969482422,924700,50.89336013793945,10898900,1.0,3,2,False,False,True,False
2018-01-04,41.25901794433594,89738400,62.92399978637695,49731500,183.22000122070312,2211400,83.7004165649414,1879600,107.76518249511719,1236900,112.06999969482422,2158700,60.92462921142578,3392100,233.3000030517578,1363000,51.18562698364258,9462800,1.0,4,3,False,False,True,False
2018-01-05,41.728755950927734,94640000,63.316001892089844,22956000,185.33999633789062,2376500,84.03959655761719,1799100,107.70144653320312,1451100,110.83999633789062,2384200,60.79583740234375,2967900,241.07000732421875,1569500,51.47789764404297,10902200,1.0,5,4,False,False,False,False
2018-01-08,41.57376480102539,82271200,67.28199768066406,49297000,185.0399932861328,2088000,84.18629455566406,1907400,107.37370300292969,2683000,111.41999816894531,1782100,61.328216552734375,5715500,248.89999389648438,2067000,52.7224235534668,12658000,1.0,8,0,False,False,False,False
2018-01-09,41.56899642944336,86336000,66.73799896240234,35733000,186.6999969482422,1804300,84.01211547851562,2779700,108.1202392578125,2317200,112.11000061035156,1848900,60.606910705566406,4323700,251.44000244140625,1212400,51.7230339050293,13564900,1.0,9,1,False,False,False,False
2018-01-10,41.55946731567383,95839600,66.95999908447266,21549500,187.11000061035156,1664300,82.60946655273438,2654400,107.10967254638672,2037000,111.47000122070312,1645000,59.67952346801758,3978400,248.30999755859375,874800,50.25223159790039,14537200,1.0,10,2,False,False,False,False
2018-01-11,41.79552459716797,74670800,67.58999633789062,33227500,188.9199981689453,1600100,83.59957122802734,1924200,106.68180084228516,1157000,113.26000213623047,2716000,59.01832962036133,2794200,252.91000366210938,722400,50.15795135498047,10694200,1.0,11,3,False,False,False,False
2018-01-12,42.22712707519531,101672400,67.24400329589844,24125500,195.0500030517578,4246000,84.36048126220703,3175700,107.8562240600586,1644300,115.91000366210938,2553000,57.92776870727539,6646900,258.42999267578125,892900,50.39366149902344,9072300,1.0,12,4,False,False,False,False
2018-01-16,42.012516021728516,118263600,68.01200103759766,32371500,192.4600067138672,4595600,85.35057830810547,3373700,108.69380187988281,2099200,111.9800033569336,2699000,57.962135314941406,3999900,263.8800048828125,1197900,51.38361740112305,14385000,1.0,16,1,False,False,False,False
2018-01-17,42.7064094543457,137547200,69.43199920654297,35517500,196.49000549316406,2969500,87.61497497558594,4011300,111.115478515625,2093800,113.0,2932200,58.606143951416016,2934700,272.25,1174800,54.06122589111328,17924200,1.0,17,2,False,False,False,False
2018-01-18,42.74454879760742,124773600,68.91400146484375,28429000,196.1999969482422,2539400,89.1459732055664,5285100,110.06851959228516,1482700,112.55000305175781,1625200,58.21974182128906,2704800,270.70001220703125,1088500,54.11779022216797,17677700,1.0,18,3,False,False,False,False
2018-01-19,42.55379104614258,129700400,70.00399780273438,24441500,195.72999572753906,2343000,88.13753509521484,2762400,110.56015014648438,1963200,115.29000091552734,2804200,58.185386657714844,3221600,269.4599914550781,1231400,54.11779022216797,11458700,1.0,19,4,False,False,False,False
2018-01-22,42.20565414428711,108434400,70.31199645996094,31052000,197.83999633789062,1701300,88.60508728027344,4442400,111.77098083496094,1673500,117.43000030517578,2905900,58.503108978271484,4622500,267.1000061035156,1147200,54.17435073852539,11479800,1.0,22,0,False,False,False,False
2018-01-23,42.215187072753906,130756400,70.55799865722656,27327000,200.08999633789062,3981000,88.4400634765625,3247100,111.16100311279297,2588600,118.7300033569336,1985400,59.05265426635742,3888500,272.1600036621094,973400,54.48549270629883,8813500,1.0,23,1,False,False,False,False
2018-01-24,41.54277038574219,204420400,69.1780014038086,26437500,197.77999877929688,3250500,87.40412139892578,6258400,110.03208923339844,1413700,116.9000015258789,2221700,58.80364990234375,3519600,272.2799987792969,798900,53.62752914428711,11787300,1.0,24,2,False,False,False,False
2018-01-25,40.80118179321289,166116000,67.52799987792969,33701500,197.50999450683594,2574200,84.32380676269531,3655900,109.82270050048828,1319600,116.87000274658203,1690400,59.851261138916016,3721100,273.55999755859375,565800,52.57155990600586,15271900,1.0,25,3,False,False,False,False
2018-01-26,40.896568298339844,156572000,68.56999969482422,22697000,201.3000030517578,2338100,86.02898406982422,4752300,111.3703842163086,1164900,117.77999877929688,1836300,59.0355110168457,4900600,283.9700012207031,1132600,53.85379409790039,11253500,1.0,26,4,False,False,False,False
2018-01-29,40.05007553100586,202561600,69.90599822998047,23735500,198.22999572753906,1939000,85.97396850585938,3078100,109.94105529785156,1339900,116.37999725341797,1058800,58.30561447143555,5796100,276.7699890136719,1585200,52.166160583496094,12350600,1.0,29,0,False,True,False,False
