Date,BTC-USD_Close,BTC-USD_Vol,ETH-USD_Close,ETH-USD_Vol,TRX-USD_Close,TRX-USD_Vol,BNB-USD_Close,BNB-USD_Vol,XRP-USD_Close,XRP-USD_Vol,DOGE-USD_Close,DOGE-USD_Vol,ADA-USD_Close,ADA-USD_Vol,SOL-USD_Close,SOL-USD_Vol,SHIB-USD_Close,SHIB-USD_Vol,LTC-USD_Close,LTC-USD_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2020-02-14,10312.1162109375,43338264162,284.2174987792969,23558253463,0.026325000450015068,2085354470,26.296958923339844,471534694,0.33482199907302856,4476902769,0.0031300000846385956,140849233,0.07057999819517136,183283803,,,,,82.99034881591797,5382846670,1.0,14,4,False,False,False,True
2020-02-15,9889.4248046875,43865054831,264.72857666015625,23682452994,0.023585999384522438,1768976193,24.14965057373047,454859713,0.30623599886894226,4282439063,0.0029200001154094934,144726029,0.06386300176382065,190925361,,,,,76.51324462890625,5612667760,1.0,15,5,True,False,False,False
2020-02-16,9934.43359375,43374780305,259.89471435546875,25152366643,0.022463999688625336,1939185864,23.466388702392578,471225913,0.2950339913368225,4025339058,0.002773999935016036,149831933,0.06265400350093842,206918460,,,,,75.152587890625,6186098306,1.0,16,6,True,False,False,False
2020-02-17,9690.142578125,45998298413,266.3634338378906,26024080089,0.021727999672293663,1842155294,23.55137825012207,418783808,0.28657200932502747,3690067847,0.0027119999285787344,149622002,0.06004200130701065,198079706,,,,,73.25130462646484,5593944695,1.0,17,0,False,False,False,True
2020-02-18,10141.99609375,47271023953,281.944580078125,26511477187,0.02256999909877777,1712241882,24.058177947998047,392689678,0.2979130148887634,3719318846,0.0028389999642968178,144188844,0.06259699910879135,184674402,,,,,77.0351791381836,5600214717,1.0,18,1,False,False,False,False
2020-02-19,9633.38671875,46992019710,259.76397705078125,22679414413,0.020320000126957893,1691858297,22.333511352539062,298250332,0.2776019871234894,3096501889,0.002623999956995249,136889052,0.05764500051736832,166141953,,,,,71.13594055175781,5298677185,1.0,19,2,False,False,False,False
2020-02-20,9608.4755859375,44925260237,257.949462890625,23229828870,0.019872000440955162,1910177842,22.22914695739746,358656850,0.2723959982395172,3138024579,0.002658999990671873,187866681,0.0582600012421608,201763470,,,,,69.62484741210938,5500324693,1.0,20,3,False,False,False,False
2020-02-21,9686.44140625,40930547513,265.6006164550781,20867593292,0.0201990008354187,1762615940,22.184877395629883,396181352,0.2749379873275757,2626495845,0.002647999906912446,157652567,0.058639999479055405,180464941,,,,,73.45092010498047,5579449656,1.0,21,4,False,False,False,False
2020-02-22,9663.181640625,35838025154,262.33172607421875,16906032862,0.020085999742150307,1552695029,21.968481063842773,328794302,0.2759009897708893,2190665842,0.002601000014692545,156145895,0.05833600088953972,132866697,,,,,75.1330795288086,5547090434,1.0,22,5,True,False,False,False
2020-02-23,9924.515625,41185185761,273.754150390625,19585998814,0.02130500040948391,1638283297,22.82887077331543,439036993,0.282710999250412,2313819448,0.00267999991774559,180747902,0.06151000037789345,190486307,,,,,79.53665161132812,5702486428,1.0,23,6,True,False,False,False
2020-02-24,9650.1748046875,45080496648,265.2164306640625,22400845640,0.01985899917781353,1823897501,22.044126510620117,357640680,0.2706269919872284,2472100400,0.002589999930933118,159143744,0.058959998190402985,203582108,,,,,75.5356216430664,6355612214,1.0,24,0,False,False,False,False
2020-02-25,9341.705078125,42515259129,247.81759643554688,21878882134,0.01905299909412861,1702733218,20.342470169067383,356163893,0.25341200828552246,2590099692,0.0024759999942034483,178541404,0.05636399984359741,178219320,,,,,71.18024444580078,5755711246,1.0,25,1,False,False,False,False
2020-02-26,8820.5224609375,50420050762,225.68026733398438,26235617201,0.01647699996829033,1983398773,18.799131393432617,443909390,0.23085099458694458,3273784862,0.002339000115171075,201370789,0.0494530014693737,207080423,,,,,61.01430892944336,6518313483,1.0,26,2,False,False,False,False
2020-02-27,8784.494140625,45470195695,226.75338745117188,25645522790,0.016938000917434692,1817877422,19.122568130493164,406092296,0.2371159940958023,2775673347,0.0023240000009536743,162813946,0.049685001373291016,158104507,,,,,61.50788497924805,5649302854,1.0,27,3,False,False,False,False
2020-02-28,8672.455078125,44605450443,226.760498046875,22563530559,0.017055999487638474,1651360029,18.85483741760254,461435237,0.23629599809646606,2468502732,0.00228899996727705,153544453,0.04861599951982498,153965237,,,,,59.76395797729492,5266399749,1.0,28,4,False,True,False,False
2020-02-29,8599.5087890625,35792392544,219.8485107421875,18181296376,0.016628999263048172,1530978799,19.584091186523438,584219366,0.23119300603866577,2061348763,0.0022350000217556953,146635830,0.047540999948978424,94074240,,,,,58.54326248168945,4168117352,1.0,29,5,True,True,False,False
2020-03-01,8562.4541015625,35349164300,218.97059631347656,18179807469,0.016498999670147896,1530951215,18.963232040405273,380913102,0.2288459986448288,2086828072,0.0022750000935047865,162437207,0.04593199864029884,96716581,,,,,57.956687927246094,4317287191,1.0,1,6,True,False,True,False
