Date,AAPL_Close,AAPL_Vol,TSLA_Close,TSLA_Vol,ADBE_Close,ADBE_Vol,ADI_Close,ADI_Vol,ADP_Close,ADP_Vol,ADSK_Close,ADSK_Vol,AEP_Close,AEP_Vol,ALGN_Close,ALGN_Vol,AMAT_Close,AMAT_Vol,AMD_Close,AMD_Vol,NVDA_Close,NVDA_Vol,AMGN_Close,AMGN_Vol,AMZN_Close,AMZN_Vol,ASML_Close,ASML_Vol,ATVI_Close,ATVI_Vol,AVGO_Close,AVGO_Vol,AZN_Close,AZN_Vol,BIDU_Close,BIDU_Vol,BIIB_Close,BIIB_Vol,BKNG_Close,BKNG_Vol,CDNS_Close,CDNS_Vol,TMUS_Close,TMUS_Vol,CHTR_Close,CHTR_Vol,CMCSA_Close,CMCSA_Vol,COST_Close,COST_Vol,GOOGL_Close,GOOGL_Vol,CRWD_Close,CRWD_Vol,CSCO_Close,CSCO_Vol,CSX_Close,CSX_Vol,CTAS_Close,CTAS_Vol,CTSH_Close,CTSH_Vol,DDOG_Close,DDOG_Vol,DLTR_Close,DLTR_Vol,DXCM_Close,DXCM_Vol,EA_Close,EA_Vol,EBAY_Close,EBAY_Vol,EXC_Close,EXC_Vol,FAST_Close,FAST_Vol,FISV_Close,FISV_Vol,GOOG_Close,GOOG_Vol,Cashback,Day,weekday,is_weekend,end_of_month,beginning_of_month,is_holiday
2020-01-31,75.93074798583984,199588400,130.11399841308594,78596500,351.1400146484375,3692900,104.76802825927734,3245400,162.6144256591797,3316700,196.85000610351562,1616600,95.07535552978516,2457800,257.1000061035156,1207300,56.57365417480469,10132200,47.0,60322400,58.936126708984375,37042000,199.04754638671875,5968900,100.43599700927734,311346000,273.9504089355469,1272600,57.4763069152832,8184200,279.19586181640625,2212300,45.014129638671875,4129300,123.55999755859375,4880900,268.8500061035156,1701700,1830.550048828125,717800,72.11000061035156,2452600,79.19000244140625,2863600,517.4600219726562,2053600,40.97740936279297,24008300,291.5570068359375,1837000,71.63899993896484,43822000,61.09000015258789,4062200,42.56204605102539,20069900,24.680095672607422,13947000,271.476806640625,696900,59.15512466430664,3340700,46.209999084472656,1708800,87.06999969482422,2704700,60.1875,4000400,106.95341491699219,6995800,32.438201904296875,18541300,30.90474510192871,9646741,32.68037414550781,4707300,118.61000061035156,3428500,71.71150207519531,48344000,1.0,31,4,False,True,False,False
2020-02-03,75.72221374511719,173788400,156.0,235325000,358.0,2693800,105.0066909790039,2134800,165.0338592529297,2162800,199.25999450683594,888300,95.07535552978516,3671500,253.02000427246094,1142900,58.26140213012695,7847300,48.02000045776367,46983500,59.908302307128906,25556400,199.81222534179688,2565400,100.20999908447266,117834000,281.2711181640625,823200,57.210941314697266,4825200,279.2598876953125,2128800,44.838504791259766,1990900,130.49000549316406,7709600,272.7300109863281,1257800,1839.030029296875,634600,72.83000183105469,1405900,79.45999908447266,2873600,532.0499877929688,1666700,40.47456359863281,26383600,288.1979064941406,2816800,74.12999725341797,71636000,61.08000183105469,3705500,43.08052444458008,15374900,24.925798416137695,10319100,274.4352111816406,480000,60.340545654296875,3646700,45.2599983215332,2275200,87.51000213623047,1906000,59.272499084472656,2538000,104.0992202758789,4155500,33.240455627441406,14939600,31.300880432128906,8584306,33.589195251464844,4608300,121.94000244140625,2986000,74.2969970703125,60736000,1.0,3,0,False,False,True,False
2020-02-04,78.22209930419922,136616400,177.41200256347656,304694000,366.739990234375,3053000,107.35501861572266,2249800,166.91246032714844,3423400,203.94000244140625,1093300,93.84380340576172,3203200,256.5199890136719,994200,61.471038818359375,12322100,49.45000076293945,46302100,61.60337448120117,27154400,204.354248046875,2765300,102.4834976196289,105786000,292.07647705078125,795300,58.19377899169922,6653700,285.0879211425781,2255900,45.069583892822266,1698800,131.3699951171875,3873200,283.2900085449219,1684400,1864.510009765625,662600,74.41999816894531,1371900,81.51000213623047,4597800,531.75,1596200,42.01156997680664,28143200,290.9653625488281,1982300,72.27050018310547,95880000,63.55500030517578,4619000,44.089725494384766,13947300,25.142404556274414,8813400,278.2790832519531,529900,61.130821228027344,2793100,47.599998474121094,1780200,88.30999755859375,1588100,60.92499923706055,2742000,106.11103057861328,4190500,36.159507751464844,46298200,31.22944450378418,8540143,34.60108947753906,3614900,123.88999938964844,4570700,72.35350036621094,78660000,1.0,4,1,False,False,True,False
2020-02-05,78.85993957519531,118826800,146.94000244140625,242119000,365.54998779296875,2463400,111.38346862792969,2192400,169.47421264648438,2675200,202.0800018310547,1366500,93.15961456298828,4064600,267.5,1128300,62.24174499511719,8252100,49.84000015258789,42737100,62.50823974609375,20822000,213.6870880126953,3669500,101.99349975585938,87524000,298.99700927734375,1042000,57.8399543762207,5985900,290.3761291503906,2482500,45.9661750793457,2303000,130.75,3523200,332.8699951171875,10159200,1939.2900390625,552300,74.31999969482422,1666800,81.79000091552734,2758800,522.1799926757812,1819300,42.30569076538086,20332100,294.83026123046875,1731800,72.30249786376953,36376000,61.814998626708984,3998600,44.858192443847656,17042300,25.27172088623047,10797000,283.5145568847656,576100,62.61500549316406,3815400,45.72999954223633,2455200,88.70999908447266,1315000,59.6349983215332,2302800,106.85431671142578,2895700,35.88886642456055,25896300,31.385303497314453,7098326,35.275691986083984,4071300,121.66999816894531,5650300,72.4114990234375,39724000,1.0,5,2,False,False,False,False
2020-02-06,79.78236389160156,105425600,149.79200744628906,199404000,367.4599914550781,2224500,110.53385162353516,1398100,171.03025817871094,1600800,206.0,1326000,93.27821350097656,2752700,266.760009765625,714100,61.646644592285156,4870600,49.31999969482422,48670600,63.37821578979492,21828400,213.23562622070312,2007500,102.5114974975586,63660000,302.1497497558594,698000,59.22575378417969,9591500,292.4895935058594,2268300,46.243465423583984,2531000,133.16000366210938,3208200,337.239990234375,3613600,1960.9000244140625,412000,74.54000091552734,911600,82.7699966430664,2976200,526.5599975585938,830700,42.315181732177734,15222400,297.0393981933594,1917900,73.79850006103516,37822000,62.189998626708984,2259400,45.08040237426758,9814800,25.320215225219727,6786300,285.7625427246094,438700,68.8311996459961,7789900,46.04999923706055,1081100,87.94000244140625,1815700,59.75,1912400,109.0147933959961,2500600,36.72978591918945,24981600,31.33983612060547,5835825,35.50992202758789,3126100,121.66999816894531,3494300,73.8115005493164,33588000,1.0,6,3,False,False,False,False
2020-02-07,78.6978988647461,117684000,149.61399841308594,85317500,366.0899963378906,2092700,107.17364501953125,1663800,169.92967224121094,2311500,207.00999450683594,1410200,93.0853042602539,2260700,258.6700134277344,609900,60.20278549194336,6093200,49.72999954223633,53107600,62.71513366699219,18975200,211.28245544433594,2295100,103.96399688720703,101906000,297.67926025390625,1775900,60.47395706176758,12936000,288.4090576171875,1588300,45.66115188598633,1995500,130.91000366210938,2765700,338.70001220703125,2209400,1909.5899658203125,449500,73.55000305175781,1157700,85.44000244140625,6740600,525.2100219726562,753600,42.44800567626953,14104200,299.9273986816406,1903500,73.95549774169922,28360000,62.09000015258789,3055700,44.41377639770508,16807500,25.174734115600586,9293100,283.74810791015625,366100,67.06753540039062,7927100,47.18000030517578,1765800,87.13999938964844,1286500,60.05500030517578,2103200,108.1129379272461,2231300,34.989959716796875,18990500,31.294382095336914,6773623,34.99459457397461,3342700,121.86000061035156,2374000,73.96150207519531,23446000,1.0,7,4,False,False,False,False
2020-02-10,79.07168579101562,109348800,154.25599670410156,123446000,370.0,2426800,107.77505493164062,1813900,170.17633056640625,2153800,206.10000610351562,1557000,93.61808013916016,1541000,259.0299987792969,766800,61.383235931396484,5121100,52.2599983215332,60971700,65.55189514160156,52960800,209.52276611328125,2144700,106.69550323486328,101124000,302.276611328125,373000,60.57224655151367,5279300,287.4666748046875,1921800,46.13255310058594,1983200,131.0500030517578,3326700,338.92999267578125,1867000,1886.6400146484375,470200,74.62999725341797,1302900,84.52999877929688,3423100,530.3400268554688,1252900,42.372100830078125,15016100,300.08038330078125,2336300,75.43299865722656,38302000,63.29999923706055,3877500,45.24705505371094,19012700,25.501256942749023,9853800,284.7602233886719,385000,66.86514282226562,3077000,47.95000076293945,1537100,87.18000030517578,1201900,61.72999954223633,2283600,107.72643280029297,2170800,34.81597137451172,11638100,31.372310638427734,5926815,34.61045455932617,4827800,123.20999908447266,2742900,75.43399810791016,28398000,1.0,10,0,False,False,False,False
2020-02-11,78.5946273803711,94323200,154.87600708007812,58487500,369.2799987792969,2004700,111.57437133789062,2765500,168.85751342773438,1584200,205.8000030517578,1289700,93.89364624023438,1498000,264.4599914550781,591200,62.8758659362793,6203800,53.79999923706055,74719100,66.77832794189453,63855600,210.9415740966797,1934500,107.54000091552734,114920000,308.4552917480469,789900,60.139793395996094,5350300,292.9195556640625,1552700,46.012386322021484,1848800,133.99000549316406,3546100,332.2900085449219,1806200,1909.300048828125,408900,75.70999908447266,1419600,94.48999786376953,25874400,530.9400024414062,1098100,42.49544143676758,11075700,297.1062316894531,2047500,75.50299835205078,34852000,65.19000244140625,7978200,45.48777389526367,23168300,25.384870529174805,8935200,285.60687255859375,263100,66.69166564941406,3036000,47.810001373291016,1884400,88.19000244140625,1708200,61.97999954223633,2068400,108.06338500976562,1195300,35.221923828125,9380300,32.04119110107422,8674735,35.434967041015625,4432200,120.70999908447266,3231200,75.43949890136719,26892000,1.0,11,1,False,False,False,False
2020-02-12,80.46106719970703,113730400,153.45799255371094,60112500,374.2900085449219,2355600,113.4167709350586,1856000,168.9144287109375,2622500,207.11000061035156,1177200,93.49866485595703,1503500,273.6099853515625,863000,63.773399353027344,11592200,53.88999938964844,45994900,67.93746185302734,37464400,209.13583374023438,2501300,108.0,66686000,309.8511047363281,656100,61.722164154052734,5244200,297.07330322265625,1531000,45.82752227783203,2483000,137.49000549316406,3636600,331.760009765625,1603000,1960.3599853515625,473200,77.0999984741211,1932800,95.66999816894531,8915500,534.0,891300,43.66243362426758,23638000,301.3523254394531,1384600,75.93150329589844,31042000,65.08000183105469,5448300,46.22846984863281,31686200,25.698467254638672,8284800,289.1393737792969,417100,66.913330078125,2629700,50.0099983215332,2199400,89.5199966430664,1370600,61.5,3146800,108.7373046875,1567200,35.908199310302734,11499100,31.98923683166504,7402139,35.922176361083984,2477500,119.13999938964844,4050300,75.91349792480469,23352000,1.0,12,2,False,False,False,False
2020-02-13,79.88809967041016,94747600,160.8000030517578,131446500,374.8399963378906,1917100,113.48358917236328,2391100,170.887939453125,1913900,207.50999450683594,897500,94.4723129272461,2555100,272.9700012207031,545800,65.72457122802734,21742700,54.529998779296875,51640000,67.49873352050781,52801600,206.94613647460938,1946500,107.49349975585938,60636000,309.6656494140625,742200,61.515769958496094,3642400,296.4054260253906,1385700,45.59645080566406,2807500,135.17999267578125,3150300,334.25,1307300,1959.93994140625,388800,79.25,3253100,95.13999938964844,5490500,534.72998046875,709400,43.709869384765625,17913100,304.29779052734375,1438000,75.66950225830078,22914000,65.30999755859375,4124500,43.81196212768555,47044700,25.811616897583008,7331400,290.093017578125,442100,67.08680725097656,2827000,48.5,3361800,89.2699966430664,1200400,63.0525016784668,4499600,107.86518859863281,1627000,35.946861267089844,7317900,32.190547943115234,7242031,35.82847595214844,2270800,121.05999755859375,3207600,75.73300170898438,18590000,1.0,13,3,False,False,False,False
2020-02-14,79.90777587890625,80113600,160.00599670410156,78468500,379.6700134277344,1690300,112.30943298339844,1869000,171.96954345703125,1566500,208.9499969482422,996900,95.30819702148438,1377000,274.95001220703125,732900,65.21725463867188,8104000,55.310001373291016,52365400,72.23745727539062,104192400,207.35435485839844,1611900,106.74349975585938,52124000,308.7383728027344,661400,62.42980194091797,4242400,290.7328796386719,1913700,44.22846221923828,6665400,134.57000732421875,1697400,333.0,1023200,1990.9599609375,535900,78.76000213623047,1329700,96.4800033569336,3045900,534.8900146484375,658200,43.72884750366211,15930600,304.4029235839844,1113400,75.9365005493164,23198000,64.8499984741211,4202500,43.48790740966797,26747200,25.73079490661621,7025100,292.79833984375,263800,66.14900970458984,4148300,47.029998779296875,8374800,88.68000030517578,1690300,70.97750091552734,13438400,108.70756530761719,1227500,36.86510467529297,10998300,32.31393814086914,5107626,35.9034309387207,2745900,122.31999969482422,2796500,76.03700256347656,23956000,1.0,14,4,False,False,False,True
2020-02-18,78.44461822509766,152531200,171.67999267578125,81908500,378.8500061035156,2074400,113.18767547607422,3074300,170.7171173095703,1512200,207.05999755859375,1342500,95.8317642211914,2121900,269.92999267578125,639300,63.76884460449219,10208500,56.88999938964844,70133200,73.92754364013672,62016400,205.69354248046875,1936400,107.78350067138672,58912000,301.7886657714844,757100,62.646026611328125,5317900,284.3102111816406,2669300,45.39310073852539,3927900,134.17999267578125,2817000,337.1000061035156,1515100,1976.280029296875,363500,78.58000183105469,1540000,99.87999725341797,7460100,537.5999755859375,739500,43.78577423095703,13694500,307.97955322265625,1547100,75.97200012207031,25642000,66.04000091552734,4324200,43.13608169555664,18546300,25.70492935180664,8205000,294.3845520019531,386600,66.54540252685547,3218200,47.08000183105469,3049600,91.08000183105469,2078300,74.0,6967200,108.47962951660156,2171400,36.604129791259766,15223600,32.71656036376953,7238666,35.87532043457031,2287800,122.25,2899500,75.9834976196289,22414000,1.0,18,1,False,False,False,False
2020-02-19,79.58071899414062,93984000,183.48399353027344,127115000,383.2799987792969,2580400,118.26616668701172,4598900,171.96954345703125,1651500,210.75999450683594,1569900,95.06936645507812,1910000,277.1499938964844,524100,65.9708251953125,8502600,58.900001525878906,58597300,78.44690704345703,69433200,206.87193298339844,1322900,108.51100158691406,51224000,309.8023376464844,1093900,63.265220642089844,4865900,288.82989501953125,2052500,45.577964782714844,3269000,135.80999755859375,2118400,341.0400085449219,1488400,1968.489990234375,241300,80.0199966430664,2212000,100.48999786376953,6091300,542.4600219726562,1041500,43.614994049072266,14814400,308.9071960449219,1413600,76.24349975585938,22746000,66.02999877929688,5306900,42.85832214355469,27626400,25.91830062866211,6755400,296.0875549316406,296000,66.59373474121094,3612800,47.29999923706055,2877400,91.98999786376953,2154500,72.91999816894531,5973600,108.79676818847656,1540000,36.27549743652344,7598300,32.4567756652832,5640947,35.87532043457031,1706000,123.55000305175781,3636700,76.33450317382812,18986000,1.0,19,2,False,False,False,False
2020-02-20,78.76428985595703,100566000,179.8820037841797,88174500,378.9599914550781,3789300,118.89620971679688,3062400,171.51412963867188,1501600,206.6699981689453,1527300,94.04060363769531,3344500,272.489990234375,584400,64.98238372802734,7535900,57.27000045776367,74203400,76.95124816894531,81005200,206.11106872558594,1638000,107.65499877929688,62626000,305.9760437011719,1118400,62.90156555175781,4219700,282.9287109375,2552100,45.2359619140625,3000200,132.4600067138672,3662400,336.6400146484375,1497800,1970.9100341796875,359200,76.97000122070312,2394200,99.5,6350400,539.219970703125,1049400,43.66243362426758,12037800,309.9208068847656,1427500,75.84950256347656,25962000,63.380001068115234,6179100,43.376808166503906,20416700,26.008825302124023,6725700,289.70379638671875,585100,67.25116729736328,3641300,45.9900016784668,5201800,93.22000122070312,1979500,75.62750244140625,8677200,108.22195434570312,4034000,36.430145263671875,8940300,32.6203727722168,5250911,36.55929183959961,3301400,121.83999633789062,3285100,75.90750122070312,21932000,1.0,20,3,False,False,False,False
2020-02-21,76.9814682006836,129554000,180.1999969482422,71574000,372.95001220703125,2742800,117.18746948242188,2813700,169.43629455566406,3538400,201.91000366210938,1774800,93.42517852783203,3361300,260.260009765625,791700,62.897850036621094,9658100,53.279998779296875,88271100,73.30435180664062,76818000,206.7141571044922,2047500,104.79850006103516,92926000,298.68463134765625,1134600,62.29220962524414,3476700,278.5920104980469,2452200,46.372867584228516,4105800,129.8000030517578,3095900,336.7099914550781,923200,1928.719970703125,358500,74.7300033569336,1550300,98.56999969482422,12101000,535.3400268554688,1243500,43.472679138183594,21235400,307.8839111328125,2239000,74.1729965209961,42520000,60.93000030517578,4625000,42.867576599121094,20028700,25.72109603881836,11560200,285.4803161621094,500300,67.76356506347656,4787100,45.68000030517578,2695900,93.88999938964844,2279000,72.8125,5544000,107.04261779785156,2546900,36.92310333251953,14695200,32.53529739379883,10307925,36.40937805175781,4124100,119.48999786376953,3563700,74.25550079345703,34634000,1.0,21,4,False,False,False,False
